Number,TranslatedTitle,OriginalTitle,Year,Languages,Subtitles,Rating,Country,Category,URL,Director,Writer,Actors,Length,Description,Comments,Picture
"24","Barbie","Barbie","2023","Ing, Esp","Esp, Ing","6.8","United States, United Kingdom","Adventure, Comedy, Fantasy","https://www.imdb.com/title/tt1517268","Greta Gerwig","Greta Gerwig, Noah Baumbach","Margot Robbie, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa","114","Vivir en Barbie Land es ser un ser perfecto en un lugar perfecto. A menos que tengas una crisis existencial completa. O seas Ken.","zh4KhVSMwtQ","movies.txt_pics\movies_24.jpg"
"23","Aquí","Here","2024","Inglés","Esp, Ing","6.2","United States","Drama","https://www.imdb.com/title/tt18272208","Robert Zemeckis","Eric Roth, Robert Zemeckis, Richard McGuire","Tom Hanks, Robin Wright, Paul Bettany, Kelly Reilly, Ellis Grunsell, Teddy Russell, Finn Guegan, Callum Macreadie, Lauren McQueen, Grace Lyra","104","Ambientada en una única habitación, sigue a las numerosas personas que la habitan a lo largo de años y años, desde el pasado hasta el futuro.","lqgtMPvVVgo","movies.txt_pics\movies_23.jpg"
"22","Gladiator II","Gladiator II","2024","Español","Ninguno","6.9","United States, United Kingdom, Morocco, Canada, Malta","Action, Adventure, Drama","https://www.imdb.com/title/tt9218128","Ridley Scott","David Scarpa, Peter Craig, David Scarpa, David Franzoni","Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nielsen, Joseph Quinn, Fred Hechinger, Lior Raz, Derek Jacobi, Peter Mensah, Matt Lucas","148","Dieciséis años después de la muerte de Marco Aurelio, Roma está gobernada por los despiadados emperadores gemelos Geta y Caracalla. El nieto de Aurelio, Lucio Vero, vive bajo el seudónimo de Hanno con su esposa Arishat en el reino norteafricano de Numidia. El ejército romano dirigido por el general Acacio invade y conquista el reino, esclavizando a Lucio junto con otros supervivientes. Los esclavos son llevados a Ostia, donde Lucio es comprado por el maestro de cuadra Macrinus, que le promete la oportunidad de vengarse matando a Acacio si gana suficientes combates para llegar al Coliseo.","kdSdHxf6tio","movies.txt_pics\movies_22.jpg"
"21","La Leyenda del Dragón","Dragonkeeper","2024","Ing, Esp","Esp, Ing","5.7","Spain, China","Animation, Adventure, Fantasy","https://www.imdb.com/title/tt7093904","Jianping Li, Salvador Simó","Carole Wilkinson, Pablo I. Castrillo, Ignacio Ferreras, Rosanna Cecchini, Xianping Wang, Carole Wilkinson","Bill Nighy, Mayalinee Griffiths, Anthony Howell, Bill Bailey, Andrew Leung, Tony Jayawardena, Sarah Lam, Felix Rosen, Colin Ryan, Paul McEwan","98","Los dragones de la antigua China están al borde de la extinción. Su única esperanza es una valiente joven, quien emprende un peligroso viaje para salvar el último huevo de dragón.","LCFEY2gytgs","movies.txt_pics\movies_21.jpg"
"20","Terrifier 3: Payaso Siniestro","Terrifier 3","2024","Ing, Esp","Esp, Ing","6.5","United States","Horror","https://www.imdb.com/title/tt27911000","Damien Leone","Damien Leone","Lauren LaVera, David Howard Thornton, Antonella Rose, Elliott Fullam, Samantha Scaffidi, Margaret Anne Florence, Bryce Johnson, Alexa Blair Robertson, Mason Mecartea, Krsy Fox","125","El payaso Art se dispone a desatar el caos entre los desprevenidos habitantes del condado de Miles mientras duermen plácidamente en Nochebuena.","6mO-y0Xeq7U","movies.txt_pics\movies_20.jpg"
"19","El Asesino del Juego de Citas","Woman of the Hour","2023","Inglés","Esp, Ing","6.6","United States","Crime, Drama, Mystery","https://www.imdb.com/title/tt7737800","Anna Kendrick","Ian McDonald","Anna Kendrick, Daniel Zovatto, Tony Hale, Nicolette Robinson, Pete Holmes, Autumn Best, Kathryn Gallagher, Kelley Jakle, Matt Visser, Jedidiah Goodacre","95","Rodney Alcala era un asesino en plena matanza cuando descaradamente participó y ganó una cita en el popular programa de televisión ""The Dating Game"".","szC-6xP6-bQ","movies.txt_pics\movies_19.jpg"
"18","Tornados","Twisters","2024","Ing, Esp","Esp, Ing","6.6","United States","Action, Adventure, Thriller","https://www.imdb.com/title/tt12584954","Lee Isaac Chung","Mark L. Smith, Joseph Kosinski, Michael Crichton, Anne-Marie Martin","Daisy Edgar-Jones, Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney, Harry Hadden-Paton, Sasha Lane, Daryl McCormack, Kiernan Shipka, Nik Dodani","122","Una actualización de la película de 1996 ""Twister"", centrada en un par de cazadores de tormentas que arriesgan sus vidas en un intento de probar un sistema experimental de alerta meteorológica.","r-faf-bxqB8","movies.txt_pics\movies_18.jpg"
"17","Transformers One","Transformers One","2024","Ing, Esp","Esp, Ing","7.7","United States","Animation, Action, Adventure, Family, Fantasy, Sci-Fi","https://www.imdb.com/title/tt8864596","Josh Cooley","Eric Pearson, Andrew Barrer, Gabriel Ferrari, Andrew Barrer, Gabriel Ferrari","Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson, Keegan-Michael Key, Steve Buscemi, Laurence Fishburne, Jon Hamm, Vanessa Liguori, Jon Bailey, Jason Konopisos-Alvarez","104","Una historia ambientada en Cybertron, hogar tanto de los Autobots como de los Decepticons. La película se centrará en la relación entre Optimus Prime y Megatron.","nG4cgTxrbDI","movies.txt_pics\movies_17.jpg"
"16","Robot Salvaje","The Wild Robot","2024","Ing, Esp","Esp, Ing","8.3","United States","Animation, Sci-Fi","https://www.imdb.com/title/tt29623480","Chris Sanders","Chris Sanders, Peter Brown","Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu, Matt Berry, Ving Rhames, Mark Hamill, Catherine O'Hara, Boone Storm","102","Tras un naufragio, un robot inteligente llamado Roz queda varado en una isla deshabitada. Para sobrevivir al duro entorno, Roz establece vínculos con los animales de la isla y cuida de una cría de ganso huérfana.","sEXyPinA4lE","movies.txt_pics\movies_16.jpg"
"15","La Sustancia","The Substance","2024","Ing, Esp","Esp, Ing","7.5","United Kingdom, France","Drama, Horror","https://www.imdb.com/title/tt17526714","Coralie Fargeat","Coralie Fargeat","Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams, Oscar Lesage, Christian Erickson, Robin Greer, Tom Morton, Hugo Diego Garcia","141","El terror corporal: La poderosa re-lectura feminista de Fargeat.","LL7-o30o9ec","movies.txt_pics\movies_15.jpg"
"14","Incitadores","The Instigators","2024","Ing, Esp","Esp, Ing","6.2","United States","Action, Comedy, Crime, Drama, Mystery, Thriller","https://www.imdb.com/title/tt24169886","Doug Liman","Chuck MacLean, Casey Affleck","Matt Damon, Hong Chau, Jack Harlow, Michael Stuhlbarg, Alfred Molina, Casey Affleck, Owen Earls, Natalie Carter, Walter Liebman, André De Shields","101","Sigue a dos ladrones que deben huir con la ayuda de uno de sus terapeutas después de que un robo no salga según lo planeado.","Fc_ygBFA-nU","movies.txt_pics\movies_14.jpg"
"13","Garfield: Fuera de casa","The Garfield Movie","2024","Ing, Esp","Esp, Ing","5.7","United States, United Kingdom, Hong Kong","Animation, Adventure, Comedy, Family, Fantasy","https://www.imdb.com/title/tt5779228","Mark Dindal","Paul A. Kaplan, Mark Torgove, David Reynolds, Jim Davis, Lee Eisenberg, Gene Stupnitsky","Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames, Nicholas Hoult, Cecily Strong, Harvey Guillén, Brett Goldstein, Bowen Yang, Snoop Dogg","101","Largometraje de animación basado en el popular cómic sobre un gato sarcástico amante de la lasaña.","Ua3PLSNGVBE","movies.txt_pics\movies_13.jpg"
"12","The Convert","The Convert","2023","Inglés","Esp, Ing","6.4","United Kingdom, Australia, New Zealand","Action, Drama","https://www.imdb.com/title/tt20113412","Lee Tamahori","Shane Danielsen, Lee Tamahori, Michael Bennett, Hamish Clayton","Guy Pearce, Tioreore Ngatai-Melbourne, Antonio Te Maioha, Jacqueline McKenzie, Te Kohe Tuhaka, Lawrence Makoare, Dean O'Gorman, Jared Turner, Will Wallace, Kelly Vivian","119","Un predicador laico que llega a un asentamiento británico en 1830. Su pasado violento pronto se pone en tela de juicio y su fe puesta a prueba, ya que se encuentra atrapado en medio de una sangrienta guerra entre tribus maoríes.","h_OdkvaPjSs","movies.txt_pics\movies_12.jpg"
