Number,TranslatedTitle,OriginalTitle,Year,Languages,Subtitles,Rating,Country,Category,URL,Director,Producer,Actors,Length,Description,Comments,Writer,Picture
"1382","Delicious","Delicious","2025","ALE/ESP","Español","4.4","Alemania","Drama, Thriller","https://www.imdb.com/title/tt32047217","Nele Mueller-Stöfen","Maren Ade, Thomas Buchwalder, Jonas Dornbach, Janine Jackowski","Fahri Yardim, Valerie Pachner, Carla Díaz, Naila Schuberth, Caspar Hoffmann, Julien De Saint Jean, Melodie Casta, Sina Martens, Miveck Packa, Joep Paddenburg","102","Una familia alemana de vacaciones en una villa francesa encuentra a una misteriosa mujer herida y la acoge, lo que provoca consecuencias imprevistas.","4l2Y22IFKec","Nele Mueller-Stöfen","movies.csv_pics\movies_1382.jpg"
"1381","Paddington: Aventura en la Selva","Paddington in Peru","2024","ING/ESP","Español","6.7","Reino Unido, Francia, Japón,USA","Infantil","https://www.imdb.com/title/tt5822536","Dougal Wilson","Rosie Alison, Tara Cairns, Camila Celis, Jeffrey Clifford, Ivan Entel, Ron Halpern, Paul King, Naoya Kinoshita, Dan MacRae, Anna Marsh, Claudia Roca Bravo, Rob Silva, Tim Wellspring","Ben Whishaw, Imelda Staunton, Oliver Maltman, Joel Fry, Robbie Gee, Sanjeev Bhaskar, Ben Miller, Jessica Hynes, Madeleine Harris, Emily Mortimer","106","Paddington y la familia Brown visitan a la tía Lucy en Perú, pero un misterio los envía a la selva amazónica y a las montañas peruanas.","zAyMWSqcOhw","Mark Burton, Jon Foster, James Lamont, Paul King, Simon Farnaby, Mark Burton, Michael Bond","movies.csv_pics\movies_1381.jpg"
"1380","Better Man: La Historia de Robbie Williams","Better Man","2024","ING/ESP","Español","7.6","Reino Unido,USA, China, Francia, Australia","Biografía, Fantasía, Música, Musical","https://www.imdb.com/title/tt14260836","Michael Gracey","Markus Barmettler, Domenic Benvenuto, Gianni Benvenuto, Mario Biancacci, Ashley TY Chao, Zhe Chen, Li-Wei Chu, Patrick Correll, Paul Currie, Jules Daly, Jackie Fletcher, Daniel Fluri, Adrian Grabe, Michael Gracey, Dean Hood, Gregory Jankilevitsch, Andres Kernen, Elizabeth Kormanova, Philip Lee, Katharina Liebherr, Michael Loney, Coco Xiaolu Ma, Georgina Marquis, Craig McMahon, Stephen O'Reilly, Nina Parnaby, David Ravel, Thorsten Schumacher, Klaudia Smieja, Lars Sylvest, Slava Vladimirov, Andjelija Vlaisavljevic, Mark Williams, Robbie Williams","Robbie Williams, Jonno Davies, Steve Pemberton, Alison Steadman, Kate Mulvany, Frazer Hadfield, Damon Herriman, Raechelle Banno, Tom Budge, Jake Simmance","135","La historia de Robbie Williams, uno de los mejores artistas del mundo, las experiencias que lo convirtieron en quien es y los demonios con los que luchó tanto dentro como fuera del escenario.","RwPJW_wRnyE","Simon Gleeson, Oliver Cole, Michael Gracey, Robbie Williams","movies.csv_pics\movies_1380.jpg"
"1379","La Fuerza De Una Campeona","The Fire Inside","2024","ING/ESP","Español","6.8","USA","Biografía, Drama, Deporte","https://www.imdb.com/title/tt6133444","Rachel Morrison","Zackary Canepari, Drea Cooper, Michael De Luca, Elishia Holmes, Barry Jenkins, Sue Jaye Johnson, Tracey Landon, Lyn Lucibello, Rachel Morrison, Claressa Shields","Ryan Destiny, Jazmin Headley, Kylee D. Allen, Brian Tyree Henry, De'Adre Aziza, Chrystian Buddington, Maurice Wayne Anglin, Teanna Weir, Idrissa Sanogo, Taytem Douglas","109","La historia de Claressa ‘T-Rex’ Shields, una boxeadora de Flint, Michigan, que entrenó para convertirse en la primera mujer en la historia de su país en ganar una medalla de oro olímpica en este deporte.","KFyNvUmJzmE","Barry Jenkins","movies.csv_pics\movies_1379.jpg"
"1378","Hombre Lobo","Wolf Man","2025","ING/ESP","Español","5.6","USA, Nueva Zelanda, Irlanda","Terror","https://www.imdb.com/title/tt4216984","Leigh Whannell","Jason Blum, Cait Collins, Helena Hawkes, Axel Paton, Jon Romano, Jennifer Scudder Trent, Beatriz Sequeira, Melanie Turner, Leigh Whannell","Christopher Abbott, Julia Garner, Matilda Firth, Sam Jaeger, Ben Prendergast, Zac Chandler, Benedict Hardie, Milo Cawthorne, Leigh Whannell, Rob MacBride","103","Blake es un hombre casado y padre de familia residente en San Francisco que hereda la remota casa donde creció en una zona rural de Oregón tras la desaparición de su propio padre, dado por muerto. En plena crisis de pareja con su enérgica esposa Charlotte, Blake la convence para tomarse un descanso de la gran ciudad y visitar la propiedad con su hija Ginger. Todo se tuerce cuando, de camino a la granja y en plena noche, la familia sufre el brutal ataque de un animal al que no consiguen ver y, en un intento desesperado por huir, se atrincheran dentro de la casa mientras la criatura merodea por la zona. Pero, con el paso de las horas, Blake comienza a comportarse de un modo extraño y a convertirse en algo irreconocible.","aed1769SjIE","Leigh Whannell, Corbett Tuck","movies.csv_pics\movies_1378.jpg"
"1377","Escapada De Espanto","The Parenting","2025","ING/ESP","Español","5.6","USA","Comedia, Terror","https://www.imdb.com/title/tt14041896","Craig Johnson","Chris Bender, Richard Brener, Jared Goldman, Stephen Lippross, Dave Neustadter, Chris Pan, Jake Weiner","Nik Dodani, Brandon Flynn, Brian Cox, Edie Falco, Lisa Kudrow, Dean Norris, Vivian Bang, Parker Posey, Kate Avallone, Elle Kaye","100","Rohan y Josh planean una perfecta escapada de fin de semana al campo para presentar a sus padres. Las tensiones empiezan a surgir entre los más tradicionales Sharon y Frank y los más relajados Liddy y Cliff, y las familias pronto se dan cuenta de que su casa de alquiler, gestionada por la excéntrica Brenda, está embrujada por la presencia de un poltergeist de 400 años. Cuando uno de los padres queda completamente poseído, depende de la joven pareja y de su entrometida mejor amiga Sara unir a las familias y detener al malvado ente de una vez por todas.","DbM9RLx8aB4","Kent Sublette","movies.csv_pics\movies_1377.jpg"
"1376","Tormenta Ácida","Acide","2023","ING/ESP","Español","5.1","Francia, Bélgica","Drama, Sci-Fi","https://www.imdb.com/title/tt17569526","Just Philippot","Camille Courau, Yves Darondeau, Frédéric Fiore, Cloé Garbay, Laurent Jacobs, Edouard Lameloise, Emmanuel Priou, Clément Renouvin, Beata Saboova, Ardavan Safaee, Bastien Sirodot","Guillaume Canet, Laetitia Dosch, Patience Munchenbach, Marie Jung, Martin Verset, Suliane Brahim, Clément Bresson, Pascal Parmentier, Soufiane Menouni, Michaël Perez","99","Durante una ola de calor, unas nubes extrañas comienzan a arrojar lluvia ácida, causando devastación y pánico en toda Francia. En un mundo al borde del abismo, una joven y sus padres divorciados deben unir fuerzas para tratar de escapar de esta catástrofe climática.","SX5WWu3rZgo","Yacine Badday, Just Philippot","movies.csv_pics\movies_1376.jpg"
"1375","Dalia Y El Libro Rojo","Dalia y el Libro Rojo","2024","Español","Español","7.3","Argentina, España, Brasil, Perú, Colombia, Ecuador","Infantil","https://www.imdb.com/title/tt9881850","David Bisbano","Ángeles Hernández, David Matamoros, Carlos Rivas, Guido Rud, Felipe Urtizberea, Álvaro Urtizberea","Agustina Cirulnik, Mora Kind, Gustavo Barrientos, Mariana Correa, Andrés Burecovics, Natalia Rosminati, Nicolás Espinosa, Lisette Freire Pérez, Eduardo Jovany Magaña Espinoza","107","Dalia, la hija de un famoso escritor quien ha muerto recientemente, hereda el legado de finalizar su libro. Para ello, Dalia se convertirá en parte del libro y se enfrentará cara a cara con los personajes que han tomado el tema del libro con el objeto de ser los protagonistas.","VXvsKc7cVDk","David Bisbano","movies.csv_pics\movies_1375.jpg"
"1374","Compañera Perfecta","Companion","2025","ING/ESP","Español","7.0","USA","Sci-Fi, Thriller","https://www.imdb.com/title/tt26584495","Drew Hancock","Richard Brener, Jamie Buckner, Pete Chiappetta, Andrew Childs, Zach Cregger, Andrew Lary, Roy Lee, J.D. Lifshitz, Josh Mack, Raphael Margules, Adam Ridley, Ryan Ridley, Tracy Rosenblum, Paulina Sussman, Anthony Tittanegro","Sophie Thatcher, Jack Quaid, Lukas Gage, Megan Suri, Harvey Guillén, Rupert Friend, Jaboukie Young-White, Matt McCarthy, Marc Menchaca, Woody Fu","97","Ccuenta la historia de un grupo de amigos que viven una experiencia caótica en una cabaña remota.","f3DdaIDu05I","Drew Hancock","movies.csv_pics\movies_1374.jpg"
"1373","Capitán América 4: Un Nuevo Mundo","Captain America: Brave New World","2025","ING/ESP","Español","6.0","USA, Canadá","Acción, Aventura, Sci-Fi","https://www.imdb.com/title/tt14513804","Julius Onah","Mitchell Bell, Louis D'Esposito, Kyana F. Davidson, Kevin Feige, Jillian Henry, Anthony Mackie, Nate Moore, Charles Newirth, Helen Pollak","Anthony Mackie, Harrison Ford, Danny Ramirez, Shira Haas, Carl Lumbly, Tim Blake Nelson, Giancarlo Esposito, Xosha Roquemore, Jóhannes Haukur Jóhannesson, William Mark McCullough","118","Cuarta entrega de la franquicia del Capitán América.","i0zaDSsk08w","Rob EdGuerrads, Malcolm Spellman, Dalan Musson, Julius Onah, Peter Glanz, Rob EdGuerrads, Malcolm Spellman, Dalan Musson, Joe Simon, Jack Kirby","movies.csv_pics\movies_1373.jpg"
